愛飲	あいいん	"애음, 즐겨 마심"	
～型	～がた	~형	最新型[さいしんがた] 최신형、努力型[どりょくがた] 노력형、天才型[てんさいがた] 천재형
～刊	～かん	~간(행)	2015年刊[ねんかん] 2015년 간(행)、近刊[きんかん] 근간
～観	～かん	~관	価値観[かちかん] 가치관、人生観[じんせいかん] 인생관、歴史観[れきしかん] 역사관
～器	～き	~기(도구)	"受話器[じゅわき] 수화기、呼吸器[こきゅうき] 호흡기、洗面器[せんめんき] 세면기, 세면대"
～機	～き	~기(기계)	写真機[しゃしんき] 사진기、発電機[はつでんき] 발전기、探知機[たんちき] 탐지기
～もっての		~제일의	クラスもっての 반에서 제일 가는、野球界もっての[やきゅうかいもっての] 야구계에서 제일 가는
～気味	～ぎみ	"~기미, ~기색"	上がり気味[あがりぎみ] 오를 기미、焦り気味[あせりぎみ] 초조해하는 기색
～強	～きょう	~정도	五百円強[ごひゃくえんきょう] 500엔 정도、三キロ強[さんきろきょう] 3킬로그램 정도
～教	～きょう	~교	キリスト教[きりすときょう] 기독교、仏教[ぶっきょう] 불교、イスラム教[いすらむきょう] 이슬람교
～業	～ぎょう	~업	製造業[せいぞうぎょう] 제조업、建築業[けんちくぎょう] 건축업、販売業[はんばいぎょう] 판매업
～切り	～ぎり	다 ~함	在庫切り[ざいこぎり] 재고 없음、時間切り[じかんぎり] 시간이 다 됨
～際	～ぎわ	~하려고 할 때	散り際[ちりぎわ] 지는 때、入り際[はいりぎわ] 들어가려고 할 때
～句	～く	~구	慣用句[かんようく] 관용구、挿入句[そうにゅうく] 삽입구、定型句[ていけいく] 정형구
～口	～ぐち	~구	改札口[かいさつぐち] 개찰구、非常口[ひじょうぐち] 비상구、通用口[つうようぐち] 통용 출입구
～軍	～ぐん	~군	革命軍[かくめいぐん] 혁명군、政府軍[せいふぐん] 정부군、反乱軍[はんらんぐん] 반란군
～家	～け	"~가, ~의 집안"	"将軍家[しょうぐんけ] 장군의 집안、山本家[やまもとけ] 야마모토의 집안、武家[ぶけ] 무가, 무사 집안"
～系	～けい	~계	"銀河系[ぎんがけい] 은하계、太陽系[たいようけい] 태양계、外資系[がいしけい] 외자계, 외국계"
～劇	～げき	~극	時代劇[じだいげき] 시대극、創作劇[そうさくげき] 창작극、人形劇[にんぎょうげき] 인형극
～権	～けん	~권	所有権[しょゆうけん] 소유권、指導権[しどうけん] 지도권、経営権[けいえいけん] 경영권
～庫	～こ	"~고, ~창고"	貯蔵庫[ちょぞうこ] 저장고、車庫[しゃこ] 차고、冷凍庫[れいとうこ] 냉동고
～後	～ご	~후	放課後[ほうかご] 방과 후、事後[じご] 사후、食後[しょくご] 식후
～工	～こう	~공	機械工[きかいこう] 기계공、修理工[しゅうりこう] 수리공、画工[がこう] 화공
～港	～こう	~항	貿易港[ぼうえきこう] 무역항、自由港[じゆうこう] 자유항、輸出港[ゆしゅつこう] 수출항
～号	～ごう	~호	第一号[だいいちごう] 제1호、創刊号[そうかんごう] 창간호、一月号[いちがつごう] 1월호
～国	～こく	~국	先進国[せんしんこく] 선진국、共和国[きょうわこく] 공화국、強大国[きょうだいこく] 강대국
～ごと		"~째, ~마다"	"まるごと 통째로、皮ごと[かわごと] 껍질 째、車ごと[くるまごと] 자동차 그대로
5分ごとに[ごふんごとに] 5분마다、会う人ごとに[あうひとごとに] 만나는 사람마다"
～小屋	～ごや	~간	"物置小屋[ものおきごや] 헛간、山小屋[やまごや] 산막, 산장、馬小屋[うまごや] 마구간"
～差	～さ	~차	温度差[おんどさ] 온도 차、時間差[じかんさ] 시간 차、個人差[こじんさ] 개인차
～祭	～さい	"~제, ~축제"	学園祭[がくえんさい] 학교 축제、映画祭[えいがさい] 영화제、文化祭[ぶんかさい] 문화제
～財	～ざい	~재	消費財[しょうひざい] 소비재、代替財[だいたいざい] 대체재、文化財[ぶんかざい] 문화재
～剤	～ざい	"~제, ~약"	消毒剤[しょうどくざい] 소독제、睡眠剤[すいみんざい] 수면제、洗浄剤[せんじょうざい] 세정제
～罪	～ざい	~죄	傷害罪[しょうがいざい] 상해죄、詐欺罪[さぎざい] 사기죄、脅迫罪[きょうはくざい] 협박죄
～作	～さく	~작	代表作[だいひょうさく] 대표작、最新作[さいしんさく] 최신작、デビュー作[デビューさく] 데뷔작
～史	～し	~사	世界史[せかいし] 세계사、文学史[ぶんがくし] 문학사、古代史[こだいし] 고대사
～士	～し	~사	飛行士[ひこうし] 비행사、弁護士[べんごし] 변호사、機関士[きかんし] 기관사
～師	～し	~사	看護師[かんごし] 간호사、薬剤師[やくざいし] 약제사、詐欺師[さぎし] 사기꾼
～視	～し	~시	確実視[かくじつし] 확실시、重要視[じゅうようし] 중요시、問題視[もんだいし] 문제시
～誌	～し	~지	会報誌[かいほうし] 회보지、月刊誌[げっかんし] 월간지、週刊誌[しゅうかんし] 주간지
～式	～しき	~식	"卒業式[そつぎょうしき] 졸업식、結婚式[けっこんしき] 결혼식、成人式[せいじんしき] 성인식、
最新式[さいしんしき] 최신식、充電式[じゅうでんしき] 충전식、旧式[きゅうしき] 구식"
～次第	～しだい	~하는 대로	決まり次第[きまりしだい] 결정되는 대로、到着次第[とうちゃくしだい] 도착하는 대로
～室	～しつ	~실	研究室[けんきゅうしつ] 연구실、実験室[じっけんしつ] 실험실、面会室[めんかいしつ] 면회실
～弱	～じゃく	"약~, ~이 조금 안됨"	十万円弱[じゅうまんえんじゃく] 약 10만 엔、三千名弱[さんぜんめいじゃく] 약 3천 명
～手	～しゅ	~수(직업)	運転手[うんてんしゅ] 운전수、歌手[かしゅ] 가수、外野手[がいやしゅ] 외야수
～酒	～しゅ	~주	日本酒[にほんしゅ] 일본주、果実酒[かじつしゅ] 과실주、洋酒[ようしゅ] 양주
～集	～しゅう	~집	問題集[もんだいしゅう] 문제집、用例集[ようれいしゅう] 용례집、写真集[しゃしんしゅう] 사진집
～術	～じゅつ	~술	航海術[こうかいじゅつ] 항해술、催眠術[さいみんじゅつ] 최면술、占星術[せいせいじゅつ] 점성술
～順	～じゅん	~순	番号順[ばんごうじゅん] 번호순、年度順[ねんどじゅん] 연도순、先着順[せんちゃくじゅん] 선착순
～所	～しょ・～じょ	~소	"市役所[しやくしょ] 시청、研究所[けんきゅうじょ] 연구소、停留所[ていりゅうじょ] 정류소, 정류장"
～賞	～しょう	~상	新人賞[しんじんしょう] 신인상、努力賞[どりょくしょう] 노력상、優秀賞[ゆうしゅうしょう] 우수상
～商	～しょう	~상	雑貨商[ざっかしょう] 잡화상、小売商[しょうばいしょう] 소매상、貿易商[ぼうえきしょう] 무역상
～省	～しょう	~성	外務省[がいむしょう] 외무성(외교부)、厚生省[こうせいしょう] 후생성(보건복지부)、文部省[もんぶしょう] 문부성(교육부)
～症	～しょう	~증	"合併症[がっぺいしょう] 합병증、過敏症[かびんしょう] 과민증、花粉症[かふんしょう] 화분증, 꽃가루 알레르기"
～証	～しょう	~증	学生証[がくせいしょう] 학생증、免許証[めんきょしょう] 면허증、登録証[とうろくしょう] 등록증
～上	～じょう	~상	歴史上[れきしじょう] 역사상、法律上[ほうりつじょう] 법률상、見かけ上[みかけじょう] 외관상
～状	～じょう	"~장; ~형태, ~상태"	"案内状[あんないじょう] 안내장、告訴状[こくそじょう] 고소장、催促状[さいそくじょう] 독촉장
球状[きゅうじょう] 구형, 둥근 형태、液状[えきじょう] 액상, 액체 상태"
～場	～じょう	~장	競技場[きょうぎじょう] 경기장、運動場[うんどうじょう] 운동장、駐輪場[ちゅうりんじょう] 자전거 주차장
～色	～しょく	~색	保護色[ほごしょく] 보호색、地方色[ちほうしょく] 지방색、郷土色[きょうどしょく] 향토색
～職	～しょく	~직	管理職[かんりしょく] 관리직、事務職[じむしょく] 사무직、専門職[せんもんしょく] 전문직
～数	～すう	~수	周波数[しゅうはすう] 주파수、得票数[とくひょうすう] 득표수、学生数[がくせいすう] 학생수
～済み	～ずみ	"~이 끝남, ~완료"	解決済み[かいけつずみ] 해결 완료、予約済み[よやくずみ] 예약 완료、消毒済み[しょうどくずみ] 소독 완료
～生	～せい	~생	留学生[りゅうがくせい] 유학생、研究生[けんきゅうせい] 연구생、新入生[しんにゅうせい] 신입생
～制	～せい	~제	罰金制[ばっきんせい] 벌금제、共和制[きょうわせい] 공화제、四年制[よせんせい] 4년제
～性	～せい	~성	安全性[あんぜんせい] 안전성、一貫性[いっかんせい] 일관성、遺伝性[いでんせい] 유전성
～席	～せき	~석	禁煙席[きんせんせき] 금연석、指定席[していせき] 지정석、助手席[じょしゅせき] 조수석
～線	～せん	~선	延長線[えんちょうせん] 연장선、国際線[こくさいせん] 국제선、電話線[でんわせん] 전화선
～船	～せん	~선	貨物船[かもつせん] 화물선、輸送船[ゆそうせん] 수송선、宇宙船[うちゅうせん] 우주선
～戦	～せん	~전	延長戦[せんちょうせん] 연장전、決勝戦[けっしょうせん] 결승전、空中戦[くうちゅうせん] 공중전
～全体	～ぜんたい	~전체	都内全体[とないぜんたい] 도내 전체、屋根全体[やねぜんたい] 지붕 전체
～全般	～ぜんぱん	~전반	経済全般[けいざいぜんぱん] 경제 전반、計画全般[けいかくぜんぱん] 계획 전반
～沿い	～ぞい	"~가, ~기슭"	"川沿い[かわぞい] 강가、山沿い[やまぞい] 산기슭、海岸沿い[かいがんぞい] 해안가, 바닷가"
～層	～そう	~층	知識層[ちしきそう] 지식층、読者層[どくしゃそう] 독자층、年齢層[ねんれいそう] 연령층
～育ち	～そだち	~에서 자람	温室育ち[おんしつそだち] 온실에서 자람、お嬢様育ち[おじょうさまそだち] 외동딸로 자람、東京育ち[とうきょうそだち] 도쿄에서 자람
～団	～だん	~단	青年団[せいねんだん] 청년단、調査団[ちょうさだん] 조사단、選手団[せんしゅだん] 선수단
～着	～ちゃく	"~도착, ~벌"	"5時着[ごじちゃく] 5시 도착、一着[いっちゃく] 일등, 한 벌"
～調	～ちょう	~조	"七五調[しちごちょう] 칠오조、復古調[ふっこちょう] 복고조、絶好調[ぜっこうちょう] 절호조, 최고 상태, 아주 좋음"
～庁	～ちょう	~청	検察庁[けんさつちょう] 검찰청、水産庁[すいさんちょう] 수산청、国税庁[こくぜいちょう] 국세청
～賃	～ちん	"~요금, ~삯"	航空賃[こうくうちん] 항공 요금、船賃[ふなちん] 뱃삯、手間賃[てまちん] 품삯
～づかい		~씀	"無駄づかい[むだづかい] 헛되이 씀、仮名づかい[かなづかい] かな 사용법、言葉づかい[ことばづかい] 말씨, 말투"
～付き	～つき	"~이 딸림, ~부"	景品付き[けいひんつき] 경품이 딸림、条件付きの賛成[じょうけんつきのさんせい] 조건부 찬성
～漬け	～づけ	"~에 빠짐, ~에 몰두"	英語漬け[えいごづけ] 영어 공부에 몰두、薬漬け[くすりづけ] 약물에 빠짐、ゴルフ漬け[ゴルフづけ] 골프에 빠짐
～づらい		~하기 어렵다	読みづらい[よみづらい] 읽기 어렵다、言いづらい[いいづらい] 말하기 어렵다
～手	～て	~하는 사람	"書き手[かきて] 쓰는 사람, 필자、語り手[かたりて] 말하는 사람, 화자、聞き手[ききて] 듣는 사람, 청자"
～点	～てん	~점	問題点[もんだいてん] 문제점、共通点[きょうつうてん] 공통점、妥協点[だきょうてん] 타협점
～展	～てん	~전	作品展[さくひんてん] 작품전、写真展[しゃしんてん] 사진전、企画展[きかくてん] 기획전
～度	～ど	~도	危険度[きけんど] 위험도、知名度[ちめいど] 지명도、理解度[りかいど] 이해도
～同士	～どうし	~끼리	近所同士[きんじょどうし] 이웃끼리、隣同士[となりどうし] 이웃끼리、いとこ同士[いとこどうし] 사촌끼리
～内	～ない	"~내, ~안"	期間内[きかんない] 기간내、時間内[じかんない] 시간내、教室内[きょうしつない] 교실 안
～難	～なん	~난	経営難[けいえいかん] 경영난、資金難[しきんなん] 자금난、生活難[せいかつなん] 생활난
～熱	～ねつ	~열	教育熱[きょういくねつ] 교육열、太陽熱[たいようねつ] 태양열、野球熱[やきゅうねつ] 야구열
～敗	～はい	"~패, ~패배"	三勝二敗[さんしょうにはい] 3승2패、連敗[れんぱい] 연패、惜敗[せきはい] 석패
～発	～はつ	"~발, ~출발"	ロンドン発[ロンドンはつ] 런던발、9時発[くじはつ] 9시 출발
～離れ	～ばなれ	~를 기피함	活字離れ[かつじばなれ] 활자를 멀리함、理科離れ[りかばなれ] 이과를 기피함
～犯	～はん	~범	現行犯[げんこうはん] 현행범、殺人犯[さつじんはん] 살인범、知能犯[ちのうはん] 지능범
～版	～ばん	~판	限定版[げんていばん] 한정판、改訂版[かいていばん] 개정판、最新版[さいしんばん] 최신판
～板	～ばん	~판	掲示板[けいじばん] 게시판、広告版[こうこくばん] 광고판、番号版[ばんごうばん] 번호판
～判	～ばん	~판	規格判[きかくばん] 규격판、名刺判[めいしばん] 명함판、A4判[エーよんばん] A4판
～費	～ひ	~비	研究費[けんきゅうひ] 연구비、生活費[せいかつひ] 생활비、交通費[こうつうひ] 교통비
～評	～ひょう	~평	審査評[しんさひょう] 심사평、人物評[じゅんぶつひょう] 인물평、好評[こうひょう] 호평
～表	～ひょう	~표	価格表[かかくひょう] 가격표、時刻表[じこくひょう] 시각표、予定表[よていひょう] 예정표
～病	～びょう	~병	皮膚病[ひふびょう] 피부병、成人病[せいじんびょう] 성인병、職業病[しょくぎょうびょう] 직업병
～風	～ふう	~풍	ヨーロッパ風[ヨーロッパふう] 유럽풍、洋風[ようふう] 서양풍、90年代風[きゅうじゅうねんだいふう] 90년대풍
～深い	～ぶかい	"~깊다, 아주 ~하다"	興味深い[きょうみぶかい] 흥미롭다、注意深い[ちゅういぶかい] 주의 깊다
～服	～ふく	~복	宇宙服[うちゅうふく] 우주복、作業服[さぎょうふく] 작업복、体操服[たいそうふく] 체육복
～物	～ぶつ	~물	飲食物[いんしょくぶつ] 음식물、刊行物[かんこうぶつ] 간행물、遺失物[いしつぶつ] 유실물
～ぶり		~만임	3年ぶり[さんねんぶり] 3년만임、しばらくぶり 오랜만임
～別	～べつ	~별	能力別[のうりょくべつ] 능력별、地方別[ちほうべつ] 지방별、職業別[しょくぎょうべつ] 직업별
～片	～へん	"~조각, ~토막"	金属片[きんぞくへん] 금속편、一片[いっぺん] 한 조각
～歩	～ほ	"~보, ~걸음"	"一歩[いっぽ] 일보, 한 걸음、二歩[にほ] 두 발짝、第一歩[だいいっぽ] 첫걸음"
～法	～ほう	~법	国際法[こくさいほう] 국제법、料理法[りょうりほう] 요리법、解決法[かいけつほう] 해결법
～報	～ほう	~보	社内報[しゃないほう] 사내보、注意報[ちゅういほう] 주의보、警報[けいほう] 경보
～末	～まつ	~말	学期末[がっきまつ] 학기말、今月末[こんげつまつ] 이달 말、世紀末[せいきまつ] 세기말
～味	～み	"~미, ~성"	現実味[げんじつみ] 현실성、人間味[にんげんみ] 인간미、真実味[しんじつみ] 진실성
～面	～めん	"~면, ~측면"	興行面[こうぎょうめん] 흥행면、金銭面[きんせんめん] 금전적인 면、構成面[こうせいめん] 구성 면
～元	～もと	~원	製造元[せいぞうもと] 제조원、販売元[はんばいもと] 판매원
～役	～やく	"~역, ~역할"	相談役[そうだんやく] 상담 역할、相手役[あいてやく] 상대역、司会役[しかいやく] 사회자 역할
～ら		~들	彼ら[かれら] 그들、それら 그것들、我ら[われら] 우리들
～来	～らい	~전부터	10年来[じゅうねんらい] 10년 전부터、年来[ねんらい] 몇 해 전부터、従来[じゅうらい] 지금까지
～裏	～り	~리	成功裏[せいこうり] 성공리、暗々裏[あんあんり] 암암리、秘密裏[ひみつり] 비밀리
～率	～りつ	~률/율	出生率[しゅっせいりつ] 출생률、致命率[ちめいりつ] 치사율、百分率[ひゃくぶんりつ] 백분율
～流	～りゅう	"~류, ~식"	自己流[じこりゅう] 자기식、西洋流[せいようりゅう] 서양식
～量	～りょう	~량	交通量[こうつうりょう] 교통량、食事量[しょくじりょう] 식사량、音量[おんりょう] 음량
～領	～りょう	"~령, ~영토"	フランス領[フランスりょう] 프랑스령、オランダ領[オランダりょう] 네덜란드령
～力	～りょく	~력	経済力[けいざいりょく] 경제력、理解力[りかいりょく] 이해력、思考力[しこうりょく] 사고력
～類	～るい	~류	文房具類[ぶんぼうぐるい] 문방구류、シーツ類[シーツるい] 시트류、魚介類[ぎょかいるい] 어패류
～歴	～れき	"~력, ~경력, ~이력"	受賞歴[じゅしょうれき] 수상 이력、指導歴[しどうれき] 지도 경력、選手歴[せんしゅれき] 선수 경력
～路	～ろ	~로	滑走路[かっそうろ] 활주로、通学路[つうがくろ] 통학로、輸送路[ゆそうろ] 수송로
～録	～ろく	"~록, ~기록"	会議録[かいぎろく] 회의록、回想録[かいそうろく] 회상록、見聞録[けんぶんろく] 견문록
～論	～ろん	~론	平和論[へいわろん] 평화론、歴史論[れきしろん] 역사론、理想論[りそうろん] 이상론
相打つ	あいうつ	"서로 치다, 서로 싸우다"	
仰向く	あおむく	위를 보다	
当てはめる	あてはめる	"맞추다, 적용시키다"	
歩き回る	あるきまわる	"걸어다니다, 돌아다니다"	
言い換える	いいかえる	바꿔 말하다	
言い付ける	いいつける	"명령하다, 고자질하다"	
威張る	いばる	"뽐내다, 거만하게 굴다"	
入れ換える	いれかえる	바꿔 넣다	
受け付ける	うけつける	"접수하다, 받아들이다"	
受け取る	うけとる	"수취하다, 받다"	
受け持つ	うけもつ	"맡다, 담당하다"	
移り住む	うつりすむ	"옮겨 살다, 이주하다"	
裏返す	うらかえす	뒤집다	
裏切る	うらぎる	"배반하다, 배신하다"	
売り出す	うりだす	"판매하다, 출시하다"	
上回る	うわまわる	"상회하다, 웃돌다"	
追い返す	おいかえす	"돌려보내다, 쫓아내다"	
追い掛ける	おいかける	뒤쫓아가다	
追い越す	おいこす	앞지르다	
追い込む	おいこむ	몰아넣다	
追い出す	おいだす	"내쫓다, 몰아내다"	
思い込む	おもいこむ	"굳게 결심하다, 믿다"	
折り返す	おりかえす	"되돌아가다, 되돌아오다"	
買い込む	かいこむ	사들이다	
書き換える	かきかえる	고쳐 쓰다	
書き込む	かきこむ	"적어넣다, 기입하다"	
書き取る	かきとる	"받아쓰다, 베껴 쓰다"	
書き直す	かきなおす	"다시 쓰다, 고쳐 쓰다"	
考え付く	かんがえつく	생각나다	
聞き返す	ききかえす	"되묻다, 다시 듣다"	
聞き取る	ききとる	알아듣다	
聞き直す	ききなおす	"되묻다, 다시 듣다"	
聞き流す	ききながす	건성으로 듣다	
気付く	きづく	"깨닫다, 알아차리다"	
くっつく		들러붙다	
くっつける		붙이다	
組み立てる	くみたてる	조립하다	
心得る	こころえる	"알다, 납득하다"	
言付ける	ことづける	"전언하다, 말을 전하다"	
さかのぼる		거슬러 올라가다	
差し引く	さしひく	"빼다, 제하다"	
下回る	したまわる	"하회하다, 밑돌다"	
絞り込む	しぼりこむ	좁혀나가다	
信じ込む	しんじこむ	믿어 의심치 않다	
吸い取る	すいとる	"흡수하다, 빨아들이다"	
透き通る	すきとおる	"비쳐 보이다, 투명하다"	
すれ違う	すれちがう	"스쳐 지나가다, 엇갈리다"	
背負う	せおう	"짊어지다, 업다"	
立ち上がる	たちあがる	"일어서다, 일어나다"	
立ち去る	たちさる	"떠나다, 물러나다"	
立ち止まる	たちどまる	멈추어 서다	
近寄る	ちかよる	"접근하다, 다가가다"	
使い切る	つかいきる	다 써버리다	
突き当たる	つきあたる	"부딪치다, 충돌하다"	
突っ込む	つっこむ	"깊이 파고들다, 처넣다"	
釣り合う	つりあう	"균형 잡히다, 어울리다"	
出迎える	でむかえる	마중 나가다	
問い返す	といかえす	"다시 묻다, 반문하다"	
問いかける	といかける	"묻다, 질문하다"	
通り掛かる	とおりかかる	마침 지나가다	
通り過ぎる	とおりすぎる	"지나치다, 통과하다"	
溶け込む	とけこむ	녹아 섞이다	
怒鳴る	どなる	"고함치다, 야단치다"	
飛び上がる	とびあがる	"날아오르다, 날뛰다"	
飛び降りる	とびおりる	뛰어내리다	
飛び越える	とびこえる	"뛰어넘다, 건너뛰다"	
飛び込む	とびこむ	"뛰어들다, 투신하다"	
飛び出す	とびだす	"뛰어나가다, 튀어나오다"	
飛び立つ	とびたつ	"날아가다, 날아오르다"	
飛び付く	とびつく	"달려들다, 덤벼들다"	
飛び乗る	とびのる	뛰어 올라타다	
飛び回る	とびまわる	날아다니다	
取り合う	とりあう	"맞잡다, 쟁탈하다"	
取り上げる	とりあげる	"집어 들다, 빼앗다"	
取り扱う	とりあつかう	"취급하다, 처리하다"	
取り集める	とりあつめる	한데 모으다	
取り入れる	とりいれる	"거둬들이다, 받아들이다"	
取り置く	とりおく	"남겨두다, 보관하다"	
執り行う	とりおこなう	"지내다, 거행하다"	
取り返す	とりかえす	"되찾다, 만회하다"	
取り替える	とりかえる	"바꾸다, 교환하다"	
取り囲む	とりかこむ	"둘러싸다, 에워싸다"	
取り交わす	とりかわす	교환하다	
取り決める	とりきめる	"결정하다, 계약하다"	
取り切る	とりきる	"모조리 따다, 전부 뜯다"	
取り組む	とりくむ	"맞붙다, 몰두하다"	
取り消す	とりけす	취소하다	
取り込む	とりこむ	"혼잡하다, 거둬들이다"	
取り出す	とりだす	"꺼내다, 골라 내다"	
取り直す	とりなおす	"다시 하다, 새로이 하다"	
取り戻す	とりもどす	"되찾다, 회복하다"	
取り止める	とりやめる	"그만두다, 중지하다"	
取り分ける	とりわける	"나누다, 갈라놓다"	
長引く	ながびく	"오래 끌다, 질질 끌다"	
乗り換える	のりかえる	"갈아타다, 바꿔 타다"	
乗り越える	のりこえる	극복하다	
走り回る	はしりまわる	"뛰어다니다, 동분서주하다"	
払い戻す	はらいもどす	남은 돈을 돌려주다	
張り切る	はりきる	"팽팽하다, 힘을 내다"	
引き受ける	ひきうける	"떠맡다, 인수하다"	
引き込む	ひきこむ	끌어들이다	
引き出す	ひきだす	"꺼내다, 끄집어내다"	
引き抜く	ひきぬく	"뽑다, 선발하다"	
引っ掛かる	ひっかかる	"걸리다, 걸려들다"	
引っ掛ける	ひっかける	걸다	
引っ繰り返す	ひっくりかえす	"뒤집다, 뒤엎다"	
引っ繰り返る	ひっくりかえる	"뒤집히다, 역전되다"	
ぶら下がる	ぶらさがる	"매달리다, 늘어지다"	
ぶら下げる	ぶらさげる	"매달다, 늘어뜨리다"	
振る舞う	ふるまう	행동하다	
微笑む	ほほえむ	미소 짓다	
真似る	まねる	"흉내내다, 모방하다"	
見上げる	みあげる	"올려다보다, 쳐다보다"	
見当たる	みあたる	"발견되다, 눈에 띄다"	
見合わせる	みあわせる	"마주 보다, 대조하다"	
見いだす	みいだす	"찾아내다, 발견하다"	
見失う	みうしなう	(시야에서) 놓치다	
見送る	みおくる	"배웅하다, 바래다주다"	
見落とす	みおとす	"간과하다, 못 보고 놓치다"	
見下ろす	みおろす	"내려다보다, 얕보다"	
見返す	みかえす	"다시 보다, 뒤돌아보다"	
見かける	みかける	"눈에 띄다, 가끔 보다"	
見込む	みこむ	"기대하다, 예상하다"	
見下げる	みさげる	"얕보다, 업신여기다"	
見詰める	みつめる	"응시하다, 주시하다"	
見直す	みなおす	"다시 보다, 재검토하다"	
見慣れる	みなれる	"눈에 익다, 낯익다"	
見舞う	みまう	병문안하다	
見分ける	みわける	"분별하다, 분간하다"	
目立つ	めだつ	"눈에 띄다, 두드러지다"	
持ち上げる	もちあげる	"들어 올리다, 쳐들다"	
基づく	もとづく	"기인하다, 바탕으로 하다"	
物語る	ものがたる	"말하다, 이야기를 하다"	
盛り上がる	もりあがる	"불거지다, 고조되다"	
役立つ	やくだつ	"도움이 되다, 쓸모가 있다"	
役立てる	やくだてる	유용하게 쓰다	
やっつける		해치우다	
やり直す	やりなおす	다시 하다	
指差す	ゆびさす	"손가락질하다, 가리키다"	
横切る	よこぎる	"가로지르다, 횡단하다"	
寄越す	よこす	"보내오다, 넘겨주다"	
呼びかける	よびかける	"부르다, 호소하다"	
呼び出す	よびだす	"호출하다, 불러내다"	
読み上げる	よみあげる	소리 내어 읽다	
読み切る	よみきる	끝까지 다 읽다	
読み通す	よみとおす	끝까지 다 읽다	
読み取る	よみとる	읽고 이해하다	
あくまで		"어디까지나, 끝까지"	
いずれ		"결국, 어쨌든, 조만간"	
いずれにせよ		어느 쪽이든	
今にも	いまにも	"당장에라도, 조금 있으면"	
至るところ	いたるところ	"도처에, 가는 곳마다"	
いちいち		"일일이, 하나하나"	
一段と	いちだんと	"한층, 더욱, 훨씬"	
いつでも		언제라도	
～一方	～いっぽう	"~하기만 함, ~하는 한편"	
いつまでも		"언제까지나, 영원히"	
いよいよ		"마침내, 드디어"	
うっかり		"깜빡, 무심코"	
うっすら		"어렴풋이, 희미하게"	
うろうろ		"우왕좌왕, 허둥지둥"	
うんと		"매우, 썩, 많이"	
得てして	えてして	"자칫, 자칫하면"	
大いに	おおいに	"대단히, 크게, 매우"	
おおむね		"대개, 대강, 대체로"	
おおよそ		"대강, 대략, 대체로"	
お気の毒に	おきのどくに	불쌍하게도	
お先に	おさきに	먼저	
遅くても	おそくても	늦어도	
思わず	おもわず	"엉겁결에, 나도 모르게"	
折り返し	おりかえし	"받은 즉시, 곧바로"	
かえって		"도리어, 오히려, 반대로"	
がらがら		"와르르, 드르륵"	
仮に	かりに	"만일, 만약, 임시로"	
仮にも	かりにも	"적어도, 그래도, 결코"	
軽々	かるがる	"가뿐히, 거뜬히"	
かんかん		"땡땡(소리), 쨍쨍(햇빛)"	
がんがん		"시끄럽게 잔소리함, 띵함"	
ぎざぎざ		들쭉날쭉	
きちんと		"깔끔히, 정확히"	
きっと		"꼭, 분명, 반드시"	
きょろきょろ		두리번두리번	
きらきら		반짝반짝	
ぐっすり		푹(깊이 잠든 모양)	
ぐるぐる		"빙글빙글, 둘둘"	
ぐんぐん		"부쩍부쩍, 쑥쑥"	
現に	げんに	"실제로, 지금"	
極	ごく	"극히, 대단히"	
こっそり		"가만히, 살짝, 몰래"	
ころころ		"대굴대굴, 오동통"	
さすが		"역시, 정말이지"	
さらさら		"졸졸, 보슬보슬"	
更に	さらに	"게다가, 더욱더"	
しいんと		"아주 조용함, 고요함"	
しかも		"게다가, 그 위에"	
始終	しじゅう	"내내, 늘, 항상"	
従って	したがって	"따라서, 그러므로"	
直に	じきに	"곧바로, 금방"	
しっかり		"단단히, 제대로, 야무지게"	
しっとり		"촉촉히, 차분히"	
しみじみ		"절실히, 곰곰이"	
順々に	じゅんじゅんに	"차례차례, 차례로"	
すいすい		"척척, 술술, 거침없이"	
すくすく		"쑥쑥, 무럭무럭"	
すっと		"불쑥, 쑥, 후련함, 개운함"	
既に	すでに	"이미, 벌써"	
すらすら		"술술, 척척, 거침없이"	
ずらり		"죽, 줄줄이"	
せっせと		"열심히, 부지런히"	
絶対に	ぜったいに	"절대로, 반드시, 결코"	
是非とも	ぜひとも	"꼭, 무슨 일이 있어도"	
そこで		"그래서, 그런데"	
そっと・そうっと		"살짝, 몰래"	
それからそれと		"뒤이어, 잇달아"	
それでも		"그런데도, 그래도"	
そろそろ		슬슬	
大して	たいして	"대단한, 이렇다 할, 특별한"	
大層	たいそう	"매우, 아주, 대단히"	
大半	たいはん	"태반, 대부분"	
大分	だいぶ・だいぶん	"상당히, 어지간히, 꽤"	
絶えず	たえず	"늘, 끊임없이"	
ただちに		"즉시, 당장, 직접"	
断固	だんこ	"단호히, 단연코"	
段々	だんだん	"차츰, 점차, 서서히"	
単に	たんに	"단지, 다만, 그저"	
近々	ちかぢか	"머지않아, 일간"	
ちょいちょい		"때때로, 가끔"	
ちょいと		"조금, 약간"	
つい		"그만, 무심코"	
次いで	ついで	"뒤이어, 잇따라서"	
ついに		"드디어, 마침내, 결국"	
つくづく		"곰곰이, 뚫어지게, 절실히"	
つるつる(と)		"매끈매끈, 반들반들"	
転々	てんてん	"전전, 여기저기 옮겨 다님"	
どうも		"도무지, 도저히, 아무래도"	
