垢	あか	"때, 물때"	
軽易な	けいいな	"간단한, 손쉬운"	
軽快な	けいかいな	경쾌한	
軽率な	けいそつな	경솔한	
軽薄な	けいはくな	경박한	
厳重な	げんじゅうな	엄중한	
厳粛な	げんしゅくな	엄숙한	
賢明な	けんめいな	현명한	
豪華な	ごうかな	호화로운	
高潔な	こうけつな	고결한	
高尚な	こうしょうな	고상한	
高慢な	こうまんな	"거만한, 건방진"	
傲慢な	ごうまんな	"오만한, 거만한"	
酷烈な	こくれつな	"혹렬한, 혹독하고 심한"	
滑けいな	こっけいな	"우스운, 우스꽝스러운"	
こまやかな		"자상한, 세밀한"	
残酷な	ざんこくな	"잔혹한, 참혹한"	
散漫な	さんまんな	산만한	
したたかな		"여간이 아닌, 만만치 않은"	
失敬な	しっけいな	"버릇없는, 무례한, 실례인"	
質素な	しっそな	검소한	
淑やかな	しとやかな	"정숙한, 우아한"	
充実な	じゅうじつな	충실한	
従順な	じゅうじゅんな	"온순한, 다소곳한"	
周到な	しゅうとうな	"주도면밀한, 빈틈없는"	
柔軟な	じゅうなんな	유연한	
深厚な	しんこうな	깊고 두터운	
迅速な	じんそくな	신속한	
親密な	しんみつな	"친밀한, 친한"	
粋な	すいな	풍류를 즐기는	
健やかな	すこやかな	"튼튼한, 건강한"	
素直な	すなおな	"순진한, 솔직한"	
速やかな	すみやかな	"빠른, 신속한, 조속한"	
精巧な	せいこうな	정교한	
誠実な	せいじつな	성실한	
静粛な	せいしゅくな	정숙한	
成熟な	せいじゅくな	성숙한	
清純な	せいじゅんな	청순한	
鮮烈な	せんれつな	선명하고 강한	
疎遠な	そえんな	소원한	
早急な	そうきゅうな・さっきゅうな	"조급한, (매우) 급한"	
素朴な	そぼくな	소박한	
ぞんざいな		"일을 소홀히 하는, 겉날리는"	
大胆な	だいたんな	대담한	
堪能な	たんおうな	(그 길에) 뛰어난	
淡白な	たんぱくな	"담백한, 산뜻한"	
稚拙な	ちせつな	"치졸한, 서투른"	
緻密な	ちみつな	치밀한	
著名な	ちょめいな	저명한	
陳腐な	ちんぷな	진부한	
痛快な	つうかいな	통쾌한	
痛切な	つうせつな	"통절한, 절실한"	
つぶらな		동그랗고 귀여운	
強気な	つよきな	"(성미가) 강한, 강경한"	
強腰な	つよごしな	"태도가 강경한, 고자세의"	
丁重な	ていちょうな	"정중한, 극진한"	
丁寧な	ていねいな	"① 친절한, 공손한 ② 꼼꼼한"	
手近な	てぢかな	가까이 있는	
徹底な	てっていな	철저한	
唐突な	とうとつな	당돌한	
得意な	とくいな	특이한	
突飛な	とっぴな	"엉뚱한, 별난"	
鈍感な	どんかんな	둔감한	
和やかな	なごやかな	"부드러운, 온화한"	
苦手な	にがてな	"잘 못하는, 서투른"	
柔和な	にゅうわな	"온유한, 온화한"	
懇ろな	ねんごろな	친절하고 공손한	
濃厚な	のうこうな	농후한	
濃密な	のうみつな	"농밀한, 진한"	
のどかな	のどかな	① 한가로운 ② 날씨가 화창한	
博識な	はくしきな	박식한	
抜本的な	ばっぽんてきな	발본적인	
華やかな	はなやかな	화려한	
はるかな		(거리가) 아득한	
繫雑な	はんざつな	"번잡한, 일이 많고 복잡한"	
半端な	はんぱな	"불완전한, 어중간한"	
ひろかな		은밀한	
微妙な	びみょうな	미묘한	
不穏な	ふおんな	불온한	
不確かな	ふたしかな	"불확실한, 애매한"	
不調な	ふちょうな	"상태가 나쁜, 부진한"	
不当な	ふとうな	"부당한, 정당하지 않은"	
無難な	ぶなんな	무난한	
豊富な	ほうふな	풍부한	
凡庸な	ぼんような	"범용적인, 평범한"	
まどかな		"원만한, 평온한"	
まともな		착실한	
未熟な	みじゅくな	미숙한	
淫らな	みだらな	"음란한, 난잡한"	
身近	みぢか	"① 자기 몸에 가까운 곳, 신변 ② 긴밀함"	
無邪気な	むじゃきな	"천진한, 순진한, 악의 없는"	
無尽蔵な	むじんぞうな	"무진장, 무궁무진한"	
無茶な	むちゃな	"터무니 없는, 당치 않은"	
むちゃくちゃな		"엉망진창인, 터무니 없는"	
夢中な	むちゅうな	"열중한, 몰두한"	
無能な	むのうな	무능한	
明朗な	めいろうな	명랑한	
猛烈な	もうれつな	맹렬한	
憂鬱な	ゆううつな	우울한	
有益な	ゆうえきな	유익한	
勇敢な	ゆうかんな	용감한	
雄大な	ゆうだいな	웅대한	
有望な	ゆうぼうな	유망한	
緩やかな	ゆるやかな	"완만한, 느릿한, 느슨한"	
容易な	よういな	용이한	
妖艶な	ようえんな	요염한	
律儀な・律義な	りちぎな	"의리가 두터운, 성실하고 정직한"	
理不尽な	りふじんな	"불합리한, 무리한"	
冷厳な	れいげんな	냉엄한	
冷酷な	れいこくな	냉혹한	
零細な	れいさいな	영세한	
冷淡な	れいたんな	냉담한	
歴然な	れきぜんな	"분명한, 또렷한"	
老練な	ろうれんな	노련한	
ろくな		"변변한, 제대로인"	
あっさり		"담박하게, 산뜻하게, 시원스럽게"	
あながち		① 반드시 ② 억지로	
あまりにも		"너무나도, 지나치게"	
あらかじめ		미리	
あらわに		"노골적으로, 공공연히"	
ありのままに		"있는 그대로, 사실대로"	
案外	あんがい	의외로	
いかにも		"정말, 매우"	
いざ		"자, 막상, 남을 권유할 때"	
依然として	いぜんとして	여전히	
一概に	いちがいに	"일률적으로, 무조건"	
いちいち		"일일이, 하나하나"	
一応	いちおう	"우선, 일단"	
一面	いちめん	① 일면 ② 온통	
いつかしら		"어느 결에, 모르는 사이에, 언젠가는"	
一見	いっけん	언뜻 보기에	
いっそ		차라리	
いったん		"① 일단 ② 잠시, 잠깐"	
未だ	いまだ	아직	
未だに	いまだに	"아직껏, 아직까지도, 현재까지도"	
今や	いまや	"지금이야말로, 바야흐로, 지금은"	
嫌々	いやいや	"싫으나 할 수 없이, 마지못해서"	
いやに		"① 대단히, 몹시 ② 묘하게, 이상하게"	
うっかり		깜빡	
うっとり		넋을 잃고	
えてして		"자칫하면, 까딱하면"	
おおかた		"거의, 대강"	
おどおど		쭈뼛쭈뼛	
おろおろ		허둥거림(어찌할 바를 몰라 당황하는 모양)	
がっくり(と)		"폭, 덜컥, 맥없이"	
がっしり		"(체격이나 짜임새가) 실팍한, 딱 벌어진, 야무지게"	
がっちり		"단단히, 꽉, 야무진, 빈틈없이"	
かねて		"미리, 전부터"	
兼ねて	かねて	"겸하여, 또"	
かろうじて		"겨우, 간신히"	
きちっと・きちんと		"깔끔히, 규칙적으로"	
きっかり		"꼭, 딱(꼭 들어맞아서 우수리가 없는 모양)"	
ぎっしり		"가득, 잔뜩"	
きっちり		꼭 맞는 모양	
きっぱり(と)		"단호히, 딱 잘라"	
急遽	きゅうきょ	갑작스럽게	
くそみそに		"호되게, 마구"	
口酸っぱく	くちすっぱく	입이 닳도록	
くっきり		"뚜렷하게, 선명하게"	
ぐっすり		푹(깊은 잠을 자는 모양)	
ぐっと		"꿀꺽, 홱, 힘껏, 훨씬"	
くまなく		"구석구석까지, 샅샅이, 빠짐없이"	
くれぐれも		"부디, 아무쪼록"	
くよくよ		끙끙(사소한 일을 걱정하여 고민하는 모양)	
げっそり		홀쭉(갑자기 여위는 모양)	
こうこうと		휘황찬란하게(번쩍번쩍 빛나는 모양)	
ごっそり		"모두, 몸땅"	
殊に	ことに	"각별히, 특히"	
ごぼごぼ		콸콸	
さしたる		"이렇다 할, 별반의"	
さだめし		"틀림없이, 아마"	
さっぱり(と)		"산뜻한 모양, (맛 등) 담백함, 남김없이"	
さまで		그렇게(까지) <부정 수반>	
さも		"자못, 아주, 정말로"	
さらさら		"① 결코, 조금도 ② 졸졸, 보슬보슬, 사각사각"	
散々	さんざん	"몹시, 실컷, 단단히, 호되게"	
しなしな		"(몸매 등이) 나긋나긋, 하늘하늘"	
暫く	しばらく	① 잠깐 ② 당분간	
じめじめ		"축축, 질퍽질퍽"	
主として	しゅとして	주로	
瞬時	しゅんじ	"순식간, 잠시"	
じりじりと		쨍쨍(태양 따위가 내리쬐는 모양)	
じりじりする		바작바작 속을 태우다	
じわじわ		"서서히, 조금씩"	
しんなり		나긋나긋	
少なからず	すくなからず	"적지않게, 많이"	
ずばりと		"① (칼로) 싹둑 ② 정확히, 딱 (잘라)"	
ずらっと		"죽, 여럿이 늘어선 모양"	
すらりと・すらっと		"술술, 쑥(막힘이 없는 모양)"	
ずるずる		질질(질질 끌거나 끌리는 모양)	
すんなり		"① 매끈함 ② (일이) 척척, 순조롭게"	
精一杯	せいいっぱい	"① 힘껏, 최대한으로 ② 고작"	
せいぜい		"기껏, 겨우, 고작"	
ぜひとも		"꼭, 무슨 일이 있어도"	
漸次	ぜんじ	"점차, 차차, 점점"	
そわそわ		"마음이 불안정함, 불안한 표정임"	
互いに	たがいに	"서로, 다 함께"	
だぶだぶ		헐렁헐렁	
だらだら		"질질, 완만하게, 지루하게"	
ちやほや		얼러주는 모양	
ちょくちょく		"이따금, 가끔"	
ちょっぴり		"조금, 약간"	
ちらっと・ちらりと		"흘끗, 언뜻"	
遂に	ついに	"드디어, 마침내, 결국"	
つくづく		"정말, 아주, 절실히"	
つと・つっと		"척, 쑥, 불쑥, 우뚝, 쭉"	
努めて	つとめて	"가능한 한, 될 수 있는 대로, 애써"	
手軽に	てがるに	"간편하게, 손쉽게"	
てきぱきと		척척(일을 척척 잘 해내는 모양)	
てっきり		"틀림없이, 영락없이"	
とうてい		도저히	
堂々と	どうどうと	"당당히, 버젓이"	
どうにか		"그럭저럭, 겨우"	
どうやら		"아무래도, 아마, 그럭저럭"	
どうりで		"그 때문에, 어쩐지, 과연"	
とかく		"이것저것, 어쨌든"	
時折	ときおり	"때때로, 이따금"	
どことなく		어딘지 (모르게)	
どたばた		"우당탕, 요란스럽게"	
とりあえず		"부랴부랴, 즉각, 우선"	
取り急ぎ	とりいそぎ	급히	
とりたてて		각별히	
とりわけ		"특히, 그 중에서도"	
とろとろ		"눅진눅진, 끈적끈적"	
どろどろ		"질척질척, 흐물흐물"	
どんより(と)		날씨가 잔뜩 흐린 모양	
尚更	なおさら	"더더욱, 더한층"	
長々	ながなが	"오랫동안, 길게, 장황하게"	
なるたけ		"되도록, 될 수 있는 대로"	
なんだかんだ		"이것저것, 이러니저러니"	
なんと		"얼마나, 대단히, 참"	
なんという		① 어쩌면 ② 이렇다 할	
なんなりと		"무엇이든(지), 무엇이건"	
ねちねち		"끈적끈적, 치근치근"	
のきなみ		"일제히, 다 함께"	
はっと		"문득, 언뜻"	
はらはら		조마조마	
はるかに		"훨씬, 매우"	
はらばら		멀리	
ひいては		(한층 더) 나아가서는	
ひそひそ		소곤소곤	
ひたすら		"오로지, 오직, 한결같이"	
ひょっと		"뜻밖에, 불쑥"	
ぴんぴん		"펄떡펄떡, 팔팔"	
ひんやり		"썰렁, 선뜩(찬 기운을 느끼는 모양)"	
ふいに		"갑자기, 느닷없이"	
再び	ふたたび	"다시, 재차"	
ふらふらと		비틀거리며	
べとべと		끈적끈적	
ぼうぜんと		멍하니	
まして		"하물며, 더구나"	
まるっきり		"도무지, 전혀"	
丸々	まるまる	"전부, 완전히"	
まんざら		반드시 (~한 것만은 아니다)	
漫然と	まんぜんと	"산만하게, 멍하게"	
自ら	みずから	스스로	
みすみす		"빤히, 보고도, 눈뜨고"	
みるみるうちに		"순식간에, 삽시간에"	
むげに		"함부로, 딱 잘라"	
無性に	むしょうに	"몹시, 공연히, 까닭없이"	
めきめき		"눈에 띄게, 두드러지게, 무럭무럭"	
めそめそ		훌쩍훌쩍	
もはや		"이제는, 벌써"	
もろもろ		"여러 가지, 가지가지"	
やけに		"몹시, 지독히, 매우"	
やんわりと		"부드럽게, 온화하게, 살며시"	
ゆるゆる		"천천히, 느릿느릿"	
よくも		"잘도, (반어적으로) 어쩌면"	
よほど		"훨씬, 상당히"	
よもや		설마	
ろくに		"변변히, 제대로"	
わざわざ		일부러	
わりに		"비교적, 생각한 것보다는"	
アクセル		"액셀, 가속 장치"	
アピール		"어필, 호소, 공감, 항의"	
アンコール		"앙코르, 재청"	
インターチェンジ		"인터체인지, IC"	
インターン		"인턴, 실습생"	
インテリ		"인텔리, 지식인"	
インテリア		"인테리어, 실내 장식"	
インフルエンザ		독감	
インフレ		인플레이션	
ウエット		정에 무름	
ウェブ		웹	
エース		"에이스, 제1인자"	
エピローグ		에필로그	
エレガント		우아함	
エントリー		"엔트리, 참가 신청"	
オプション		옵션	
オリエンテーション		오리엔테이션	
ガード		"(도로 · 선로 위의) 철교, 육교"	
ガードレール		가드레일	
カーペット		"카펫, 융단"	
カウンター		"카운터, 계산대"	
カウント		"카운트, 셈, 계산"	
カテゴリー		"카테고리, 범주"	
カルテ		"카르테, 진료 기록 카드"	
ガレージ		차고	
キープ		"자기 수중에 가짐, 확보함"	
ギブアップ		"기브 업, 단념함"	
キャスター		"캐스터, 해설자"	
キャスト		"캐스트, 배역"	
キャッチ		캐치	
キャップ		"캡, 뚜껑"	
キャラクター		"캐릭터, 성격, 성질"	
キャリア		"커리어, 경력"	
クリア		"장애물을 뛰어넘음, 난관을 헤쳐나감"	
クレーム		"클레임, 불평, 불만"	
クローズアップ		클로즈업	
グローバル		"글로벌, 세계적임"	
コーディネーター		코디네이터	
コネクション・コネ		"연고, 연줄"	
コマーシャル		"커머셜, 방송 광고"	
コミュニケーション		커뮤니케이션	
サイクル		사이클	
サポーター		"서포터, 후원자, 지지자"	
シート		시트	
シェア		"셰어, 시장 점유율"	
シック		"멋짐, 세련됨"	
ジャズ		재즈	
シャトル		"셔틀, 정기 왕복편"	
ジャンプ		"점프, 뜀, 도약"	
ジャンボ		"점보, 거대함"	
スクラップ		"스크랩, 고철"	
スタイル		스타일	
スタジオ		"스튜디오, 활영실"	
ステーション		"역, 정거장"	
ステータス		"사회적 지위, 신분"	
ストライキ・スト		동맹 파업	
ストロー		"스트로우, 빨대"	
ストロボ		"스트로보, 섬광 장치"	
スポンサー		"스폰서, 광고주, 후원자"	
スリル		스릴	
スローガン		슬로건	
ソックス		양말	
ダース		다스(12개로 한 조)	
タイムリー		시의적절함	
タッチ		"터치, 감촉"	
タレント		"탤런트, 재능이 있는 사람"	
チャイム		차임(벨)	
チャージ		"차지, 충전"	
チャンネル		채널	
ティッシュ・ペーパー		화장지	
データベース		데이터베이스	
デザイン		디자인	
デッサン		"데생, 소모"	
テナント		"테넌트, 세입자"	
デビュー		데뷔	
デフレ		디플레이션	
ドライ		"드라이, 매몰참"	
トリック		"트릭, 책략, 속임수"	
ドリル		"드릴, 반복 연습"	
ナンセンス		"넌센스, 무의미함"	
ニュアンス		뉘앙스	
ノイローゼ		노이로제	
バッジ		"배지, 휘장"	
バッテリー		배터리	
バット		배트	
パトカー		"패트롤카, 순찰자"	
パロディー		패러디	
ファイル		"파일, 서류철"	
フィルター		필터	
フェリー		페리	
フォーム		"폼, 모양"	
ブザー		"버저, 초인종"	
フラッシュ		플래시	
ブランド		"브랜드, 상표"	
ブロック		블록	
プロローグ		"프롤로그, 서막"	
フロント		"정면, (호텔의) 접수계"	
ペア		"페어, 한 쌍, 짝"	
ベース		"베이스, 토대, 기초"	
ボイコット		"보이콧, 불매 동맹"	
ポジション		"(직무상의) 지위, 수비 위치"	
マージン		"마진, 이문"	
マスコミ		매스컴	
マスメディア		매스 미디어	
マッサージ		마사지	
ムード		"무드, 분위기"	
メディア		"미디어, 매체"	
メロディー		"멜로디, 선율"	
ウニフォーム		"유니폼, 제복"	
ユーモア		유머	
ランク		"랭크, 순위를 정함"	
リアリティー		"리얼리티, 현실(성)"	
リストアップ		"리스트 업, 열거"	
ルーズ		"단정치 못함, 허술함"	
レッテル		"상표지, 라벨"	
レギュラー		"레귤러, 정규멤버"	
レバー		"레버, 지렛대"	
レベル		"레벨, 수준"	
レントゲン		"뢴트겐, 엑스레이"	
ロケーション・ロケ		"로케이션, 현지 촬영"	
ロック		자물쇠를 채움	
ロマンチック		"로맨틱, 낭만적"	
ワット		와트	
悪平等	あくびょうどう	"악평등, 잘못된 평등"	
来る十日	きたるとおか	오는 10일	
誤操作	ごそうさ	오조작	
去る五日の朝	さるいつかのあさ	지난 닷샛날 아침	
超満員	ちょうまんいん	초만원	
当ホテル	とうほてる	저희 호텔	
当研究所	とうけんきゅうじょ	당연구소	
被任命者	ひにんめいしゃ	임명받은 사람	
副作用	ふくさよう	부작용	
猛反対	もうはんたい	맹반대	
生産額	せいさんがく	생산액	
汚職がらみ		비리에 관련됨	
50がらみ		50(세) 가량	
人生観	じんせいかん	인생관	
家族ぐるみ		온 가족이 몽땅	
首都圏	しゅとけん	수도권	
供給源	きょうきゅうげん	공급원	
乗り心地	のりごこち	승차감	
住み心地	すみごこち	거주했을 때의 기분	
発送先	はっそうさき	발송처	
報道陣	ほうどうじん	보도진	
決勝戦	けっしょうせん	결승전	
探検隊	たんけんたい	탐험대	
資金難	しきんなん	자금난	
人間味	にんげんみ	인간미	
通信網	つうしんもう	통신망	
広告欄	こうこくらん	광고란	
死亡率	しぼうりつ	사망률	
盛況裏	せいきょうり	성황리	
着こなす	きこなす	맵시 있게 입다	
使いこなす	つかいこなす	잘 다루다	
弾きこなす	ひきこなす	잘 연주하다	
思い込む	おもいこむ	믿어버리다	
飛び込む	とびこむ	뛰어들다	
割り込む	わりこむ	끼어들다	
受け損ねる	うけそこねる	받을 기회를 놓치다	
聞き損ねる	ききそこねる	"잘못 듣다, 못 듣다"	
乗り損ねる	のりそこねる	(탈것을) 놓치다	
行きそびれる	いきそびれる	갈 기회를 놓치다	
言いそびれる	いいそびれる	말할 기회를 놓치다	
証	あかし	"증거, 증명"	
暁	あかつき	"새벽, 새벽녘"	
夜明け	よあけ	"새벽, 새벽녘"	
商い	あきない	장사	
諦念	ていねん	체념	
憧憬	どうけい・しょうけい	동경	
卑劣な	ひれつな	비열한	
あさましい		"비열하다, 치사하다"	
アシスタント		"어시스턴트, 조수, 보조역"	
助手	じょしゅ	조수	
あたかも		"마치, 흡사"	
まるで		마치	
アタック		"어택, 공격, 도전"	
挑戦	ちょうせん	도전	
頭打ちになる	あたまうちになる	한계점에 이르다	
ピークに達する	ぴーくにたっする	절정에 달하다	
アチーブマント		"어치브먼트, 학습 성과, 학습 성적"	
達成	たっせい	달성	
あべこべ		"뒤바뀜, 반대"	
さかさま		거꾸로 됨	
アマチュア		아마추어	
あまねく		"널리, 골고루"	
あらまし		"개요, 대강, 대충"	
おおむね		"대개, 대략"	
ありありと		"뚜렷이, 선명히, 역력히"	
ありきたりの		"평범한, 흔해빠진"	
ありふれた		흔해빠진	
併せて・合わせて	あわせて	"합해서, 아울러, 함께"	
安直な	あんちょくな	"손쉬운, 간편한"	
簡易	かんい	간이	
言い合い	いいあい	"말다툼, 언쟁"	
口論・口げんか	こうろん・くちげんか	언쟁	
いかに		① 어떻게 ② 아무리 ③ 얼마나	
どのように		어떻게	
どんなに		아무리	
どれほど		얼마나	
いきさつ		"경위, (얽힌) 사정"	
憤る	いきどおる	"분개하다, 성내다, 노하다"	
いかる		분개하다	
憩い	いこい	"푹 쉼, 휴식"	
いじくる		만지작거리다	
いじける		"위축되다, 주눅이 들다"	
すくむ		움츠러지다	
頂	いただき	"(산 따위의) 꼭대기, 정상"	
山頂	さんちょう	산꼭대기	
いたって		"(지)극히, 매우, 대단히"	
一向に	いっこうに	전혀	
一切	いっさい	"① 일체, 모두 ② 일절, 전혀, 전연"	
いっそ		"도리어, 차라리"	
むしろ		차라리	
かえって		오히려	
偽り	いつわり	"거짓, 허위"	
ごまかす		속이다	
糸口	いとぐち	"실마리, 단서"	
手づる	てづる	"실마리, 단서"	
いとも		"매우, 아주"	
今となっては	いまとなっては	이제 와서	
今ひとつ	いまひとつ	"좀, 조금"	
きざ		아니꼬움	
いやみ		"빈정댐, 불쾌감"	
いらだつ		"초조하다, 애가 타다"	
あせる		초조하게 굴다	
じりじりする		"초조하다, 애가 타다"	
色合い	いろあい	색조	
トーン		"톤, 색조"	
色調	しきちょう	색조	
因業な	いんごうな	"완고한, 매정한, 냉혹한"	
無情な	むじょうな	"매정한, 무정한"	
インサート		"인서트, 삽입"	
挿入	そうにゅう	삽입	
インサイド		"인사이드, 안쪽 내부"	
裏側	うらがわ	안쪽	
インスピレーション		"인스피레이션, 영감"	
ひらめき		"번쩍 떠오름, 재치"	
インターナショナル		"인터내셔널, 국제적"	
国際的な	こくさいてきな	국제적인	
インフォメーション		"인포메이션, 접수처"	
受付	うけつけ	접수처	
ウェート・ウェイト		"무게, 중점"	
重点	じゅうてん	중점	
うかがう		"엿보다, 살피다, 노리다"	
受かる	うかる	"붙다, 합격하다"	
受け持ち	うけもち	"담임, 담당"	
担任	たんにん	담임	
打ち明ける	うちあける	"털어놓다, 고백하다"	
打ち込む	うちこむ	열중하다	
熱中する	ねっちゅうする	열중하다	
うつろ		(속이) 텅 빔	
疎ましい	うとましい	"싫다, 역겹다"	
うぬぼれる		"자만하다, 자부하다"	
思い上がる	おもいあがる	우쭐하다	
裏付け	うらづけ	"확실한 증거, 뒷증명"	
うろたえずに		당황하지 않고	
うんざりする		지긋지긋하다	
参る	まいる	"지치다, 질리다"	
前かけ	まえかけ	앞치마	
優雅な	ゆうがな	우아한	
高尚な	こうしょうな	고상한	
滑らかな	なめらかな	"원활한, 순조로운"	
スムーズに		순조롭게	
縁起	えんぎ	"(길흉의) 조짐, 재수"	
ジンクス		징크스	
先触れ	さきぶれ	"조짐, 징조"	
縁故	えんこ	"관계, 연줄"	
手づる	てづる	"연줄, 연고"	
つて		"연줄, 연고"	
コネ		"연줄, 연고"	
怨恨	えんこん	원한	
恨み	うらみ	원한	
エンターテインメント		"엔터테인먼트, 오락, 연예"	
娯楽	ごらく	오락	
芸能	げいのう	예능	
殴打する	おうだする	구타하다	
なぐる		때리다	
大方	おおかた	"거의, 대강"	
ほぼ		"거의, 대강"	
オートマチック		오토매틱	
自動的な	じどうてきな	자동적인	
往来	おうらい	"원래, 길(거리)"	
行き来	ゆきき	원래	
道路	どうろ	"도로, 길"	
おおまかに		"대략, 대충"	
おおざっぱに		대충	
幼稚な	ようちな	유치한	
収まる	おさまる	수습되다	
片付く	かたづく	해결되다	
解決する	かいけつする	해결되다	
おさらい		복습	
おっかない		"무섭다, 두렵다"	
おっくうな		귀찮은	
お手上げな		어찌할 도리가 없는	
乙女	おとめ	"소녀, 처녀"	
少女	しょうじょ	소녀	
処女	しょじょ	처녀	
自ずから	おのずから	"저절로, 자연히"	
おのずと		저절로	
ひとりでに		저절로	
自然に	しぜんに	저절로	
思う存分	おもうぞんぶん	"마음껏, 힘껏"	
思うまま	おもうまま	마음껏	
思い切り	おもいきり	마음껏	
趣	おもむき	"① 재미, 정취, 멋 ② 느낌, 모습, 분위기"	
味わい	あじわい	정취	
様子	ようす	모습	
面持ち	おももち	"표정, 안색"	
表情	ひょうじょう	"표정, 안색"	
顔つき	かおつき	"표정, 안색"	
思惑	おもわく	"생각, 의도"	
おろそかに		소홀히	
ぞんざいに		아무렇게나	
怨念	おんねん	"원념, 원한"	
ガードマン		"가드맨, 경비원"	
警備員	けいびいん	경비원	
解雇される	かいこされる	해고당하다	
首になる	くびになる	해고당하다	
振り返る	ふりかえる	회고하다	
回顧	かいこ	회고	
概して	がいして	대체로	
総じて	そうじて	대체로	
思い返す	おもいかえす	회상하다	
介抱	かいほう	"병구완, 간호"	
看病	かんびょう	간병	
カウンセラー		"카운셀러, 상담원"	
相談係	そうだんがかり	상담원	
面相	めんそう	용모	
抱え込む	かかえこむ	"끌어안다, 떠맡다"	
しょい込む	しょいこむ	떠맡다	
抱える	かかえる	"고용하다, 두다"	
雇う	やとう	고용하다	
愕然とする	がくぜんとする	깜짝 놀라다	
格段に	かくだんに	현격히	
格別に	かくべつに	"각별히, 특별히"	
とりわけ		특히	
かたくなな		"완고한, 고집스러운"	
強情な	ごうじょうな	고집이 센	
傍ら	かたわら	"옆, 가"	
わき		옆	
画期的な	かっきてきな	획기적인	
勝手	かって	부엌	
キッチン		부엌	
かつて		"① 일찍이, 전에 ② 전혀, 한 번도"	
葛藤	かっとう	"갈등, 분쟁"	
もめごと		분쟁	
かなた		"저쪽, 저편"	
向こうのほう	むこうのほう	저쪽	
奏でる	かなでる	"켜다, 연주하다"	
構え	かまえ	"(건물의) 외관, 구조, 태세, 준비"	
構造	こうぞう	구조	
ガレージ		차고	
車庫	しゃこ	차고	
かろうじて		"겨우, 간신히"	
代わる代わる	かわるがわる	"번갈아, 교대로"	
交互に	こうごに	번갈아	
玩具	がんぐ	"완구, 장난감"	
感触	かんしょく	감촉	
手ざわり	てざわり	감촉	
簡素な	かんそな	간소한	
単純な	たんじゅんな	단순한	
元来	がんらい	원래	
もともと		원래	
気掛かり	きがかり	"걱정, 근심, 염려"	
懸念	けねん	"걱정, 염려"	
気兼ね	きがね	"사양, 스스러움"	
危機	きき	위기	
ピンチ		"핀치, 위기"	
兆候	ちょうこう	징후	
きざな		"(언어 · 동작 등이) 같잖은, 아니꼬운"	
気丈夫な	きじょうぶな	마음이 든든한	
帰するところ	きするところ	결국	
つまるところ		결국	
つまり		결국	
毀損	きそん	"훼손, 파손"	
破損	はそん	파손	
鍛える	きたえる	"단련하다, 맹렬히 훈련하다"	
気立て	きだて	"심지, 마음씨"	
気前	きまえ	기질	
性質	せいしつ	성질	
脚本	きゃくほん	"각본, 대본"	
シナリオ		각본	
台本	だいほん	대본	
脚光	きゃっこう	각광	
フットライト		"푸트라이트, 각광"	
ギャップ		"갭, 틈새, 간격, 차이"	
溝	みぞ	"(의견, 감정 등의) 틈, 장벽"	
経歴	けいれき	경력	
恐慌	きょうこう	"공황, 두려워 당황함"	
パニック		패닉	
競走	きょうそう	경주	
仰天する	ぎょうてんする	깜짝 놀라다	
極力	きょくりょく	"극력, 힘껏"	
巨匠	きょしょう	"거장, (예술가의) 대가"	
大家	たいか	대가	
切り捨てる	きりすてる	잘라 버리다	
削減する	さくげんする	삭감하다	
亀裂	きれつ	"균열, 금"	
ひび		(잔)금	
極めて	きわめて	"극히, 매우, 더없이"	
食い足りない	くいたりない	만족하지 못하다	
クール		"쿨함, 냉정함"	
冷静な	れいせいな	냉정한	
くじける		"(기세가) 꺾이다, 좌절하다"	
ひるむ		(기세가) 꺾이다	
くじ引き	くじびき	"제비뽑기, 추첨"	
抽選	ちゅうせん	추첨	
朽ちる	くちる	"썩다, 쇠퇴하다"	
くさる		썩다	
屈指	くっし	굴지	
有数	ゆうすう	손꼽힘	
指折り	ゆびおり	손꼽힘	
くつろぐ		"편히 쉬다, 휴식하다"	
首飾り	くびかざり	목걸이	
ネックレス		목걸이	
工面	くめん	주머니 사정	
金回り	かねまわり	"돈의 유통, 주머니 사정"	
玄人	くろうと	"전문가, 숙련자"	
プロ		"전문가, 프로"	
企て	くわだて	"계획, 기도"	
ケア		"돌봄, 간호"	
経過	かいか	경과	
成行き	なりゆき	경과	
警戒	けいかい	경계	
用心	ようじん	"경계, 조심"	
恵沢	けいたく	"혜택, 은혜"	
恵み	めぐみ	은혜	
軽蔑する	けいべつする	경멸하다	
さげすむ		깔보다	
経路	けいろ	경로	
ルート		"루트, 경로"	
激励する	げきれいする	격려하다	
励ます	はげます	격려하다	
欠乏	けつぼう	결핍	
けなされる		"헐뜯기다, 욕을 먹다"	
堅実な	けんじつな	견실한	
しっかりした		야무진	
故意に	こいに	고의로	
厚顔な	こうがんな	낯두꺼운	
鉄面皮	てつめんぴ	철면피	
丹念に	たんねんに	세밀히	
まめに		꼼꼼히	
爽やかな	さわやかな	상쾌한	
すがすがしい		상쾌하다	
心得	こころえ	"마음가짐, 소양"	
心がけ	こころがけ	마음가짐	
心構え	こころがまえ	"마음의 준비, 각오"	
覚悟	かくご	각오	
心細い	こころぼそい	"어쩐지 마음이 불안하다, 허전하다"	
試み	こころみ	"시도(해 봄), 시험"	
試し	ためし	시도	
